Article,duration
406,53
121,47
265,69
227,107
56,34
279,33
59,61
99,19
162,66
408,74
27,8
340,9
430,57
306,23
306,5
322,22
454,4
152,7
152,2
50,6
423,31
3,23
86,39
265,2
446,4
124,21
265,17
446,23
124,26
63,92
213,39
267,93
442,23
133,32
302,22
198,30
164,40
264,7
253,7
441,5
112,8
112,16
79,15
4,14
4,6
449,12
263,17
38,26
117,44
251,109
222,108
436,10
457,20
308,80
143,157
320,36
40,47
434,12
260,39
72,8
72,46
260,7
72,12
408,20
81,22
446,30
63,62
258,199
121,68
133,7
302,21
198,5
198,3
164,23
253,37
112,16
79,20
4,18
449,17
38,20
117,27
117,45
251,12
222,13
436,20
111,12
457,39
143,17
320,22
40,44
40,102
421,54
424,17
402,23
452,41
28,86
142,33
307,20
141,38
141,25
376,18
327,26
146,53
275,31
277,59
16,11
365,7
285,7
200,12
286,8
167,14
48,46
367,10
269,17
233,11
47,39
19,56
265,15
117,6
251,8
436,17
111,7
308,13
143,43
320,18
40,13
28,11
170,20
311,19
138,35
141,22
254,22
113,11
178,30
263,76
297,6
211,37
211,4
183,54
183,3
4,160
195,20
35,12
68,193
79,92
294,103
2,68
208,23
434,14
434,3
253,10
264,8
198,6
257,15
97,19
164,21
337,107
250,20
250,7
442,59
213,43
406,56
406,12
265,62
56,57
63,13
56,31
227,88
279,38
59,22
121,6
406,35
265,12
121,26
45,36
45,7
344,52
386,69
284,77
236,14
40,26
213,57
81,12
63,52
227,91
227,7
56,20
279,58
375,43
410,44
251,41
265,65
446,21
124,194
124,2
446,13
63,12
63,4
213,10
267,13
442,25
133,32
253,17
121,16
121,20
99,62
375,28
128,98
121,19
265,2
121,40
265,36
306,37
408,0
406,3
121,90
408,166
322,75
306,24
430,40
340,12
27,20
408,80
162,74
99,141
59,242
454,28
423,109
3,30
86,67
105,91
81,0
105,5
86,33
213,17
267,133
133,5
133,10
302,42
117,72
251,28
117,12
251,17
222,80
251,12
251,4
251,1
117,14
222,9
93,15
436,17
111,12
143,17
457,57
40,99
421,85
189,69
189,10
40,36
189,20
452,64
142,153
22,23
307,15
344,92
284,36
275,85
446,91
124,12
213,22
442,7
302,51
167,34
285,49
447,82
365,15
392,15
167,18
19,255
265,57
446,54
213,216
308,283
265,9
147,33
138,0
143,7
430,4
419,140
210,66
139,30
362,22
211,8
85,43
160,56
45,15
82,0
452,51
82,41
279,64
340,0
87,96
38,16
375,139
123,10
123,106
263,261
205,57
117,76
176,10
140,46
195,40
320,0
56,119
322,0
306,18
430,47
430,1
430,0
168,167
125,4
397,3
275,217
227,142
452,83
442,294
124,0
124,1
227,0
406,6
406,21
121,22
265,154
265,26
227,9
56,65
279,34
279,10
279,4
59,48
99,7
162,26
408,48
340,7
419,18
267,23
258,9
391,5
409,4
259,3
441,10
190,7
117,51
93,8
228,49
308,39
147,5
209,16
307,30
42,13
61,2
433,4
214,2
383,7
440,9
64,8
7,13
246,3
242,10
242,4
372,2
62,15
130,7
62,7
109,7
268,28
262,10
19,0
406,37
121,28
265,48
227,143
56,51
279,47
59,46
99,21
162,20
408,54
27,13
340,7
430,37
430,3
340,1
430,4
306,23
306,1
306,1
430,2
306,4
322,20
322,8
454,5
152,7
152,2
50,8
50,2
152,5
105,3
86,3
152,1
50,1
423,2
50,3
423,29
3,36
3,3
86,25
105,35
81,36
105,10
81,11
81,2
81,2
210,24
210,2
256,12
256,4
446,17
446,8
124,58
63,9
446,10
124,26
124,4
124,3
63,36
213,59
419,43
419,3
267,25
442,22
15,10
358,19
358,1
250,20
133,5
133,13
258,9
360,3
258,4
360,27
360,2
41,13
41,4
404,9
337,9
74,2
337,2
74,12
74,2
74,3
157,13
166,3
175,4
175,3
166,6
157,5
432,21
282,5
165,4
387,8
112,7
166,6
175,6
419,1
419,1
157,8
157,30
166,4
175,7
220,5
302,26
302,3
255,5
378,10
97,14
97,2
97,1
378,4
97,4
400,9
400,1
400,2
332,7
198,7
391,5
391,1
409,7
409,3
89,4
89,8
301,2
89,2
301,24
89,3
301,2
304,7
304,1
164,12
164,2
259,4
259,4
259,2
164,4
259,5
196,3
391,7
164,12
164,2
391,2
89,6
400,8
198,7
264,7
264,2
253,8
264,4
198,2
264,14
264,6
264,6
253,6
253,3
253,1
434,5
434,8
434,4
116,14
441,2
116,8
441,3
190,5
190,4
196,13
196,2
223,5
193,10
193,2
193,2
112,31
112,2
223,9
223,187
223,2
129,15
223,1
129,1
155,11
155,3
155,2
191,12
155,1
191,6
193,1
193,7
112,9
193,2
112,14
112,5
112,1
115,5
80,4
80,2
180,4
180,4
196,5
196,4
294,8
294,8
366,7
366,4
366,2
362,7
362,2
2,11
2,6
387,6
387,3
79,7
182,3
60,5
219,6
219,2
150,4
54,13
54,3
54,2
102,8
135,4
132,3
139,8
139,2
422,3
422,3
88,4
393,2
260,7
260,3
195,8
195,6
371,9
371,3
135,19
135,2
35,5
68,2
35,1
68,7
314,4
422,2
314,4
422,6
1,4
1,4
4,7
211,2
4,2
211,2
4,12
211,4
108,16
108,4
108,2
183,9
183,1
183,13
183,4
221,12
221,3
95,4
381,9
95,2
221,10
95,5
381,11
165,6
165,3
217,4
78,10
78,2
161,3
282,6
183,5
381,6
9,2
165,5
72,4
181,4
289,13
289,7
385,3
5,4
203,4
351,5
92,3
318,3
354,4
412,7
412,2
203,3
341,1
289,2
341,8
289,10
426,4
232,8
232,3
73,4
388,3
385,4
385,2
168,26
73,1
388,1
385,2
168,4
449,6
263,14
449,5
263,2
123,34
123,1
38,14
38,2
87,61
87,1
375,19
119,12
382,17
245,19
241,6
67,46
67,2
67,3
128,18
128,2
324,8
324,2
8,15
8,4
127,15
336,19
240,28
240,5
240,5
125,21
103,9
110,12
44,206
240,47
240,2
240,4
125,4
118,41
70,197
305,148
448,92
225,143
23,8
356,2
356,4
356,57
34,36
273,24
30,33
30,3
30,1
273,2
30,4
330,22
330,2
91,56
159,20
159,2
335,20
6,4
6,8
6,5
65,23
33,7
230,3
357,40
199,19
276,6
276,5
394,8
331,65
76,20
299,13
299,2
415,8
37,13
37,4
75,8
315,3
438,17
359,10
309,6
416,11
187,7
83,3
292,12
292,3
184,4
338,27
231,2
338,1
231,9
231,3
151,6
51,33
51,7
51,6
364,11
379,9
379,5
144,9
144,2
300,2
53,5
295,6
202,10
130,12
130,4
62,8
428,5
109,8
243,5
268,8
268,1
262,6
19,4
262,6
268,3
243,1
262,4
19,24
268,16
268,18
268,1
262,16
19,61
19,3
84,7
84,3
47,26
47,2
233,9
233,3
269,16
269,1
239,4
367,8
278,4
278,3
29,4
48,45
48,3
270,43
270,3
350,5
432,74
432,1
25,10
26,9
11,10
11,2
418,15
185,7
185,3
207,10
207,2
58,14
58,4
167,24
167,2
10,4
174,3
174,2
287,3
244,2
286,7
158,4
200,9
420,4
77,3
458,5
411,4
444,4
447,7
69,3
43,5
413,8
31,2
303,2
14,4
431,3
122,2
18,34
18,2
450,6
374,16
98,30
98,20
98,16
98,3
98,1
66,90
66,1
104,11
104,7
32,12
32,3
237,3
24,5
368,3
370,5
370,6
313,3
313,2
101,3
101,2
192,27
192,2
131,3
57,3
46,2
435,4
403,3
266,5
285,10
365,4
16,6
277,6
82,14
82,4
137,3
71,5
20,6
36,6
397,10
372,4
349,3
107,4
107,4
194,10
194,3
171,17
171,5
363,18
169,3
