ActionType,ActionParameters,duration,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
EditNotes,VAST32P_revision_1_July_17_10:29_AM.patch,0,,,,,,
EditNotes,VAST32P_revision_2_July_17_10:36_AM.patch,0,,,,,,
GetDetail,Article 406,53,,,,,,
GetDetail,Article 121,47,,,,,,
GetDetail,Article 265,69,,,,,,
EditNotes,VAST32P_revision_3_July_17_10:43_AM.patch,147,,,,,,
GetDetail,Article 227,107,,,,,,
GetDetail,Article 56,34,,,,,,
Search,elodis from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
GetDetail,Resume-IsiaVann.pdf,104,,,,,,
GetDetail,Article 279,33,,,,,,
GetDetail,Article 59,61,,,,,,
GetDetail,Article 99,19,,,,,,
EditNotes,VAST32P_revision_7_July_17_10:52_AM.patch,146,,,,,,
GetDetail,Article 162,66,,,,,,
GetDetail,Article 408,74,,,,,,
GetDetail,Article 27,8,,,,,,
GetDetail,Article 340,9,,,,,,
GetDetail,Article 430,57,,,,,,
EditNotes,VAST32P_revision_10_July_17_10:58_AM.patch,43,,,,,,
GetDetail,Article 306,23,,,,,,
GetDetail,Article 306,5,,,,,,
GetDetail,Article 322,22,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 1,7,,,,,,
GetDetail,Article 454,4,,,,,,
GetDetail,Article 152,7,,,,,,
GetDetail,Article 152,2,,,,,,
GetDetail,Article 50,6,,,,,,
GetDetail,Article 423,31,,,,,,
GetDetail,Article 3,23,,,,,,
GetDetail,Article 86,39,,,,,,
Search,Salo from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Kidnap from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,86,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Email Header 1169,83,,,,,,
GetDetail,Article 265,2,,,,,,
GetDetail,Article 446,4,,,,,,
GetDetail,Article 124,21,,,,,,
GetDetail,Article 265,17,,,,,,
GetDetail,Article 446,23,,,,,,
EditNotes,VAST32P_revision_12_July_17_11:06_AM.patch,62,,,,,,
GetDetail,Article 124,26,,,,,,
GetDetail,Article 63,92,,,,,,
EditNotes,VAST32P_revision_13_July_17_11:09_AM.patch,108,,,,,,
GetDetail,Article 213,39,,,,,,
GetDetail,Article 267,93,,,,,,
EditNotes,VAST32P_revision_15_July_17_11:13_AM.patch,172,,,,,,
GetDetail,Article 442,23,,,,,,
GetDetail,Article 133,32,,,,,,
GetDetail,Article 302,22,,,,,,
GetDetail,Article 198,30,,,,,,
GetDetail,Article 164,40,,,,,,
GetDetail,Article 264,7,,,,,,
GetDetail,Article 253,7,,,,,,
GetDetail,Article 441,5,,,,,,
GetDetail,Article 112,8,,,,,,
GetDetail,Article 112,16,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 1,7,,,,,,
GetDetail,Article 79,15,,,,,,
GetDetail,Article 4,14,,,,,,
GetDetail,Article 4,6,,,,,,
GetDetail,Article 449,12,,,,,,
GetDetail,Article 263,17,,,,,,
GetDetail,Article 38,26,,,,,,
GetDetail,Article 117,44,,,,,,
GetDetail,Article 251,109,,,,,,
GetDetail,Article 222,108,,,,,,
EditNotes,VAST32P_revision_21_July_17_11:25_AM.patch,153,,,,,,
GetDetail,Article 436,10,,,,,,
GetDetail,Article 457,20,,,,,,
GetDetail,Article 308,80,,,,,,
GetDetail,Article 143,157,,,,,,
EditNotes,VAST32P_revision_25_July_17_11:32_AM.patch,81,,,,,,
GetDetail,Article 320,36,,,,,,
GetDetail,Article 40,47,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 1,8,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 0,18,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 434,12,,,,,,
GetDetail,Article 260,39,,,,,,
GetDetail,Article 72,8,,,,,,
GetDetail,Article 72,46,,,,,,
GetDetail,Article 260,7,,,,,,
GetDetail,Article 72,12,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Article 408,20,,,,,,
GetDetail,Article 81,22,,,,,,
GetDetail,Article 446,30,,,,,,
GetDetail,Article 63,62,,,,,,
GetDetail,Article 258,199,,,,,,
EditNotes,VAST32P_revision_27_July_17_11:43_AM.patch,0,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,fire alarm from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 2,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 3,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 4,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 5,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 6,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 8,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 9,1,,,,,,s
Search, from 1982-01-01 to 2015-01-01 page 11,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 13,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 15,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 17,1,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 18,0,,,,,,
EditNotes,VAST32P_revision_28_July_18_8:22_AM.patch,120,,,,,,
EditNotes,VAST32P_revision_31_July_18_8:24_AM.patch,0,,,,,,
EditNotes,VAST32P_revision_32_July_18_8:34_AM.patch,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,75,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
GetDetail,Article 121,68,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,33,,,,,,
AddElement,Elian Karel,3,,,,,,
Search,Elian Karel from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
