ActionParameters,duration,ParameterCode
Article 406,53,1
Article 121,47,1
Article 265,69,1
Article 227,107,1
Article 56,34,
Article 279,33,
Article 59,61,
Article 99,19,
Article 162,66,
Article 408,74,
Article 27,8,
Article 340,9,
Article 430,57,
Article 306,23,
Article 306,5,
Article 322,22,
Article 454,4,
Article 152,7,
Article 152,2,
Article 50,6,
Article 423,31,
Article 3,23,
Article 86,39,
Article 265,2,
Article 446,4,
Article 124,21,
Article 265,17,
Article 446,23,
Article 124,26,
Article 63,92,
Article 213,39,
Article 267,93,
Article 442,23,
Article 133,32,
Article 302,22,
Article 198,30,
Article 164,40,
Article 264,7,
Article 253,7,
Article 441,5,
Article 112,8,
Article 112,16,
Article 79,15,
Article 4,14,
Article 4,6,
Article 449,12,
Article 263,17,
Article 38,26,
Article 117,44,
Article 251,109,
Article 222,108,
Article 436,10,
Article 457,20,
Article 308,80,
Article 143,157,
Article 320,36,
Article 40,47,
Article 434,12,
Article 260,39,
Article 72,8,
Article 72,46,
Article 260,7,
Article 72,12,
Article 408,20,
Article 81,22,
Article 446,30,
Article 63,62,
Article 258,199,
Article 121,68,
Article 133,7,
Article 302,21,
Article 198,5,
Article 198,3,
Article 164,23,
Article 253,37,
Article 112,16,
Article 79,20,
Article 4,18,
Article 449,17,
Article 38,20,
Article 117,27,
Article 117,45,
Article 251,12,
Article 222,13,
Article 436,20,
Article 111,12,
Article 457,39,
Article 143,17,
Article 320,22,
Article 40,44,
Article 40,102,
Article 421,54,
Article 424,17,
Article 402,23,
Article 452,41,
Article 28,86,
Article 142,33,
Article 307,20,
Article 141,38,
Article 141,25,
Article 376,18,
Article 327,26,
Article 146,53,
Article 275,31,
Article 277,59,
Article 16,11,
Article 365,7,
Article 285,7,
Article 200,12,
Article 286,8,
Article 167,14,
Article 48,46,
Article 367,10,
Article 269,17,
Article 233,11,
Article 47,39,
Article 19,56,
Article 265,15,
Article 117,6,
Article 251,8,
Article 436,17,
Article 111,7,
Article 308,13,
Article 143,43,
Article 320,18,
Article 40,13,
